entity_type,model,held_out_entity_id,held_out_entity,actual_bonus,predicted_bonus,alpha,gamma,delta,eta,ridge_penalty,error
driver,ridge_form_price,hamilton,Lewis Hamilton,7,7.340020088,0.3763574303,-0.04847700011,10.21245511,,1,0.3400200884
driver,ridge_form_price,max_verstappen,Max Verstappen,6.5,9.227024931,0.1261379841,-0.0532557327,10.98484723,,1,2.727024931
driver,ridge_form_price,russell,George Russell,11.25,9.043528325,0.6072588142,-0.0436931612,9.463058799,,1,-2.206471675
driver,ridge_form_price,leclerc,Charles Leclerc,10.75,6.366794578,0.193875237,-0.07274844975,10.58837558,,1,-4.383205422
driver,ridge_form_price,norris,Lando Norris,10.25,8.41912457,0.5470531718,-0.04296813373,9.597825345,,1,-1.83087543
driver,ridge_form_price,hadjar,Isack Hadjar,-0.25,7.005561515,0.3773336339,-0.05179718602,10.87179173,,1,7.255561515
driver,ridge_form_price,piastri,Oscar Piastri,7.5,7.60111426,0.3631033156,-0.05107261626,10.26382734,,1,0.10111426
driver,ridge_form_price,gasly,Pierre Gasly,4.333333333,6.385535921,0.3762333863,-0.05359659755,10.45386839,,1,2.052202588
driver,ridge_form_price,lawson,Liam Lawson,8.75,4.876203945,0.1971273935,-0.04878944946,10.19454367,,1,-3.873796055
driver,ridge_form_price,arvid_lindblad,Arvid Lindblad,-2,4.570181814,1.178056332,-0.02125965671,8.729878709,,1,6.570181814
driver,ridge_form_price,ocon,Esteban Ocon,6.75,5.481901499,0.3878056791,-0.04482105341,9.984812272,,1,-1.268098501
driver,ridge_form_price,bortoleto,Gabriel Bortoleto,0.25,4.021885649,0.9137769294,-0.03065592135,9.16151226,,1,3.771885649
driver,ridge_form_price,colapinto,Franco Colapinto,5.5,6.122171701,0.3685420937,-0.05320512132,10.33717455,,1,0.6221717015
driver,ridge_form_price,sainz,Carlos Sainz,8,4.647616748,0.382328246,-0.02904765024,9.529702888,,1,-3.352383252
driver,ridge_form_price,albon,Alexander Albon,7.75,1.960601043,-0.6545071584,-0.07898803842,12.20157083,,1,-5.789398957
driver,ridge_form_price,alonso,Fernando Alonso,2.5,3.140512337,0.4556741332,-0.04937507518,10.10303809,,1,0.6405123367
driver,ridge_form_price,bearman,Oliver Bearman,4,3.552824425,0.3387116571,-0.04952487208,10.23491121,,1,-0.4471755745
driver,ridge_form_price,hulkenberg,Nico Hulkenberg,-2.75,2.277427466,1.572893809,-0.01204029997,7.674188335,,1,5.027427466
driver,ridge_form_price,perez,Sergio Perez,3.75,2.287002166,0.1598382724,-0.05056476984,10.50751755,,1,-1.462997834
driver,ridge_form_price,bottas,Valtteri Bottas,0.25,2.282250557,0.4932684607,-0.06943250228,10.51371276,,1,2.032250557
driver,ridge_form_price,stroll,Lance Stroll,5.25,1.13843293,0.06668631652,-0.01270404765,9.772898902,,1,-4.11156707
